"","spp","hadsstannp0","hadsstannp10","hadsstannp25","hadsstannp50","hadsstannp75","hadsstannp90","hadsstannp100","hadsstwannp0","hadsstwannp10","hadsstwannp25","hadsstwannp50","hadsstwannp75","hadsstwannp90","hadsstwannp100","en4sbtannp0","en4sbtannp10","en4sbtannp25","en4sbtannp50","en4sbtannp75","en4sbtannp90","en4sbtannp100","en4sbtwannp0","en4sbtwannp10","en4sbtwannp25","en4sbtwannp50","en4sbtwannp75","en4sbtwannp90","en4sbtwannp100","en4sstannp0","en4sstannp10","en4sstannp25","en4sstannp50","en4sstannp75","en4sstannp90","en4sstannp100","en4sstwannp0","en4sstwannp10","en4sstwannp25","en4sstwannp50","en4sstwannp75","en4sstwannp90","en4sstwannp100","NA","NA","NA","NA","speciesName","decade","mean","quantile0.","quantile10.","quantile25.","quantile50.","quantile75.","quantile90.","quantile100.","wtd.mean","wtd.quantile0.","wtd.quantile10.","wtd.quantile25.","wtd.quantile50.","wtd.quantile75.","wtd.quantile90.","wtd.quantile100.","sampleSize","cellCount","maxent_mean","maxent_quantile0.","maxent_quantile10.","maxent_quantile25.","maxent_quantile50.","maxent_quantile75.","maxent_quantile90.","maxent_quantile100.","maxent_wtd.mean","maxent_wtd.quantile0.","maxent_wtd.quantile10.","maxent_wtd.quantile25.","maxent_wtd.quantile50.","maxent_wtd.quantile75.","maxent_wtd.quantile90.","maxent_wtd.quantile100.","maxent_cellCount"
"11",180,9.16,20.13,23.53,26.48,27.97,28.71,29.5,9.19,20.6,23.86,26.64,28.03,28.72,29.5,0.0403161621093773,0.973937683105447,1.13963623046875,1.33416137695312,1.75074890136717,3.0100747680664,29.3383526611328,0.147962646484359,0.974962116943027,1.13963154968184,1.33589850431482,1.75482022795372,3.05053402930552,29.3383526611328,9.35203674316404,20.4842044067383,23.7636923217774,26.7799395751953,28.2768103027344,29.0108334350586,29.7951885986328,9.36478820800784,20.9703356010709,24.0601689904373,26.9624707557092,28.3288854667173,29.033741719175,29.7951885986328,NA,NA,NA,NA,"Abudefduf sordidus","60-09",25.6188385928119,18.2903499603271,23.0738552093506,24.6578912734985,25.5029754638672,27.4651923179626,28.5057048797607,29.0849990844727,25.711015654255,20.2693672180176,23.1074126257141,24.6977717724021,25.5353884601258,27.6570604630635,28.5216403218471,29.0825150307507,143,54,25.9269814428954,13.7077503204346,21.9927350997925,24.4329962730408,26.7623243331909,28.0318465232849,28.7176118850708,29.5028991699219,26.0510052083419,13.7469835281372,22.2101147749467,24.607673370879,26.8662594010469,28.0699367029446,28.7318481557063,29.5028991699219,13314
"12",183,23.93,26.032,26.84,27.41,27.83,28.07,28.49,24.07,26.0739169248663,26.8480990390207,27.4161980780414,27.8342971170621,28.07,28.49,0.775354614257822,1.68629479980469,1.94504699707034,2.31516479492188,3.75516662597659,17.1107734375,28.7644848632813,0.778717041015625,1.70879252034731,1.95008170852209,2.32434350387689,3.75682315621121,17.6000474587284,28.7644848632813,24.2091424560547,26.6507933349609,27.3235284423828,27.8003082275391,28.1250708007813,28.4358693847656,28.9501190185547,24.4814801025391,26.6634692775797,27.3335758274683,27.8018323668651,28.1276956510961,28.4452070274869,28.9501190185547,NA,NA,NA,NA,"Abudefduf troschelii","60-09",26.2445231217604,16.7831497192383,23.6966419219971,24.7517375946045,27.3418664932251,27.9655795097351,28.1582412719727,28.6202163696289,26.3118940790105,23.6262836456299,23.8227928615889,25.0870452006071,27.40448987584,27.9727192375046,28.1719566724703,28.611639197097,102,26,26.2907118337421,16.7761840820312,22.6837833404541,25.1871337890625,27.1314659118652,28.0266590118408,28.6372097015381,29.4902839660645,26.3949482941611,16.8041324615479,23.0854651310462,25.3464656343709,27.1978124521435,28.0515260015447,28.6519198994686,29.4902839660645,8015
"13",184,12.36,21.785,24.45,26.91,28.12,28.76,29.49,13.19,22.11,24.64,26.99,28.17,28.77,29.49,0.0403161621093773,1.03467926025388,1.1767465209961,1.40450408935547,1.83299987792968,3.45390624999999,29.3383526611328,0.141085205078127,1.03396119745801,1.17581611684661,1.40328395315425,1.83594835452323,3.47063157510904,29.3383526611328,12.9974230957031,22.3204901123047,24.7919972229004,27.2623080444336,28.4649026489258,29.0939569091797,29.6905072021484,13.8095294189453,22.6018562119454,24.992697363647,27.3616312898777,28.5040946446944,29.109445304079,29.6905072021484,NA,NA,NA,NA,"Abudefduf vaigiensis","60-09",26.069878765181,17.335916519165,23.1723379135132,24.9732336997986,26.5709085464478,28.1561379432678,28.569588470459,29.0849990844727,26.1872457078997,17.8518505096436,23.2840773217064,25.137904700047,26.7320101091816,28.3002290719373,28.7070412280679,29.0849990844727,296,102,26.2493016076999,15.2559003829956,22.6897203445435,24.8052172660828,26.9804086685181,28.1557507514954,28.7599321365356,29.5028991699219,26.3437167492792,15.3301668167114,22.8830071742688,24.9624911975873,27.0623778065068,28.1992215309588,28.7724551193771,29.5028991699219,12514
"14",281,22.01,27.094,28.1025,28.64,28.805,28.927,29.06,24.72,27.3617624296102,28.1144060740255,28.64,28.8232182220766,28.9710330654432,29.06,1.42881225585938,3.03152154541014,8.94323745727537,26.8414474487305,28.1762852478027,28.689071472168,29.2143792724609,1.74994018554685,3.06586948134824,9.61928095395846,26.8685236118501,28.2557955613084,28.7193633794913,29.2143792724609,18.5603094482422,27.5451084594726,28.3180075073242,28.899026184082,29.1046820068359,29.2995034179687,29.4928009033203,24.8631085205078,27.6040607453096,28.3361193845205,28.9225781670382,29.1115332767887,29.3127351421912,29.4928009033203,NA,NA,NA,NA,"Acalyptophis peronii","60-09",27.0664984963157,24.7192001342773,26.2148666381836,26.6728582382202,26.9827842712402,27.7267913818359,28.0210494995117,28.7702503204346,27.0827153027513,26.2148666381836,26.4519328283814,26.8888662979596,27.2571962477961,27.901282629462,28.4955795604914,28.7702503204346,32,11,27.7379596938224,24.0834331512451,26.0168434143066,27.1870498657227,27.9867496490479,28.6416921615601,28.8252563476562,29.3785991668701,27.766189329632,24.099250793457,26.0679938018677,27.2717820812823,28.0051235439596,28.6493916571171,28.826566714988,29.3785991668701,619
"15",285,-1.79,-0.52,1.01,4.08,8.25,11.094,20.99,-1.68,0.355225885386958,2.55768823782247,5.98075295128986,9.74306471346739,13.6227106246435,20.99,-1.26857604980466,-0.903668945312484,-0.478571777343745,1.71717651367186,2.95587890625001,4.20671813964842,12.4398944091797,-1.23725280761721,-0.849324822239393,0.392109980546916,2.43310812007871,3.26620989250781,4.96274623127168,12.4398944091797,-2.02638000488281,-0.668782348632817,1.0471716308594,3.86641784667967,8.08020874023435,10.9426724853516,21.533189086914,-1.89736999511717,0.678884583461903,2.4075000032695,5.88643813896254,9.62141781426292,13.15890664188,21.533189086914,NA,NA,NA,NA,"Acanella arbuscula","60-09",7.20685407519341,1.41108512878418,2.35367832183838,3.64023756980896,6.49970841407776,9.71637916564941,12.4951385498047,19.0874996185303,7.62724462435472,1.69393336772919,2.80552885777543,4.10364777163733,7.20353109414688,10.5998906810478,13.3530296907525,19.0874996185303,204,52,6.59940289315717,-1.57568371295929,0.11940333545208,1.77976512908936,4.84311676025391,9.69476699829102,17.4155868530273,25.7924327850342,8.12621320704929,-1.5185319185257,0.84556357378585,2.71040225183557,6.15711326374452,12.4993724883609,19.1206562008553,25.7924327850342,7117
"16",296,-1.8,-1.48,-0.71,6.43,25.72,28.36,29.46,-1.8,-0.81,4.72363858092386,21.1729108647391,27.8421831485543,28.6,29.46,-2.12393005371092,-0.545160888671887,0.0347927856445267,1.53294738769529,4.05729705810546,13.5068558349609,29.3383526611328,-1.97121459960937,-0.171190005056154,1.21216066940539,2.37924533431558,7.25144999317425,21.113647561773,29.3383526611328,-2.19496520996091,-1.17173217773437,-0.369500732421869,6.14007446289065,26.0266177368164,28.6220930175781,29.7951885986328,-2.06382812499999,-0.443772665680191,4.58704586471118,21.5792267433461,28.0654376930928,28.9225204982847,29.7951885986328,NA,NA,NA,NA,"Acanthaluteres brownii","60-09",19.095480225303,15.3403997421265,17.0732002258301,17.3549165725708,17.7582492828369,18.7025756835938,24.124532699585,28.0308494567871,19.2972546192462,17.0732002258301,17.1700739545857,17.5380443755934,17.9247869659148,20.6113166639889,26.1575501668385,28.0308494567871,22,11,25.6391253296922,15.1797828674316,18.7627637863159,24.2366704940796,27.3939418792725,28.4011664390564,28.7488376617432,29.4623832702637,25.8879491995251,15.2504835128784,19.2467665041382,24.8368718289689,27.5456435980176,28.4417399676278,28.7588542349314,29.4623832702637,1968
"17",297,-1.79,-1.22,3.78,26.39,28.365,28.772,29.38,-1.76,7.55701721066126,21.7198900593286,27.4480847675551,28.5642543026653,28.8465525815992,29.38,-2.12393005371092,0.00925207519529751,1.34374481201172,5.93463439941405,21.6343783569336,27.211037109375,29.3383526611328,-1.26386901855471,1.21754568563049,2.84466343618707,12.6674252687806,22.8933115734178,27.5181593637866,29.3383526611328,-2.19496520996091,-0.563478515624979,4.10283020019531,26.7741870117188,28.5521279907227,29.0731401367187,29.7951885986328,-1.84465637207029,7.23111284470803,22.290211204589,27.6983971810926,28.7847495508653,29.200666040894,29.7951885986328,NA,NA,NA,NA,"Acanthaluteres spilomelanurus","60-09",16.835563659668,15.0123996734619,15.052116394043,15.2954416275024,15.4184169769287,17.1240334510803,20.2693672180176,23.8267498016357,16.9566968293364,15.052116394043,15.2056576588271,15.3345609833475,15.422129589844,18.1279974298936,23.6559543804478,23.8267498016357,95,11,18.4397993659473,-1.79392945766449,0.232701748609543,10.2615375518799,21.6765747070312,27.8553338050842,28.6234943389893,29.3785991668701,21.5144206446224,-1.77498149871826,8.29301742510992,16.6226631050773,26.0598263543344,28.062531551749,28.6937961704192,29.3785991668701,2334
"18",298,-1.8,-1.48,-0.89,3.11,17.68,27.36,29.38,-1.8,-1.09,2.13245224299001,14.3692358878402,26.46735672897,28.294828074764,29.37980897196,-2.12393005371092,-0.632853637695325,-0.102568664550773,1.42460388183594,4.34842010498048,13.4809807128906,29.3383526611328,-1.94072021484374,-0.356884037629641,0.887664713704964,2.82935167564848,8.63797457506337,21.1137947957667,29.3383526611328,-2.19496520996091,-1.17088647460939,-0.55896453857423,3.46719177246092,17.8399679565429,27.6675258789063,29.7951885986328,-2.06382812499999,-0.707778097549102,2.77998426907253,14.3210706704854,26.7711921972578,28.5005639554977,29.7933501519585,NA,NA,NA,NA,"Acanthaluteres vittiger","60-09",18.2740529487873,14.8793830871582,15.2366500854492,15.4226837158203,17.1891326904297,18.7688331604004,26.8372161865234,28.4708824157715,18.5509327329832,15.0123996734619,15.3019753520411,15.4627418222884,17.5422870686049,19.5135499423498,27.2215086750152,28.4708824157715,75,29,22.5432260047388,11.1820163726807,14.7243162155151,17.7301006317139,24.1691493988037,27.7752494812012,28.6268173217773,29.3785991668701,23.0957705106286,11.5027666091919,15.1803402129128,18.3333918064104,25.2709774795303,27.8838288427766,28.6640539722836,29.3785991668701,1965
"19",405,-1.77,2.419,6.21,15.25,21.4325,24.881,28.55,-1.75,4.73377620679233,9.43888103396164,18.8788810339616,22.9833215509425,25.573985861131,28.55,-1.26857604980466,-0.45973370361329,0.728301239013661,1.62989624023436,2.51705230712892,4.1578526611328,23.5447198486328,-1.23662597656249,0.279569394592903,0.902198065697308,1.85451821391046,2.53041357062829,4.42364365941909,23.5447198486328,-1.9660119628906,2.20385394287108,6.29802688598633,15.5168655395508,21.8852806091308,25.2996312255859,29.2999835205078,-1.87041748046875,4.71320872563836,9.4494452056116,19.2339330496681,23.4482548359429,25.9950889307298,29.2999835205078,NA,NA,NA,NA,"Acanthephyra eximia","60-09",14.4559653857175,1.69393336772919,4.03749990463257,7.5130250453949,13.1351499557495,20.8824167251587,23.934549331665,28.3684997558594,15.5366104437227,3.26811671257019,4.61510881138488,9.19230698486803,17.884112659147,22.0974859231021,24.2530250938341,28.3684997558594,146,51,15.6072919474863,-0.834108650684357,3.45051336288452,6.05044984817505,18.4562168121338,23.7634334564209,26.5346828460693,29.1240158081055,17.9121551742574,-0.765134215354919,4.47416385400356,9.80831900096589,20.8929538500415,24.5527470446728,27.01246819947,29.1240158081055,6549
"20",412,-1.76,0.99,6.05,14.95,22.1,24.85,26.76,-1.74,4.30122629842205,11.51,17.48,23.32,25.53,26.76,-1.26857604980466,-0.415713867187492,0.758645935058581,1.72215332031249,2.23053100585938,3.38108642578125,14.1224163818359,-1.23725280761721,0.517293593803907,0.976824129795956,1.83351252468553,2.221381553026,3.36669664071124,14.1224163818359,-1.99937194824219,1.02886425781251,6.23316284179688,15.2222778320312,22.2409747314453,24.9147125244141,27.5414025878906,-1.88098205566405,4.33216317518591,11.6688906456445,17.9254090001396,23.4872919010381,25.6374303025429,27.5414025878906,NA,NA,NA,NA,"Acanthephyra pelagica","60-09",11.2798744039202,-0.468659937381744,1.5611572265625,6.06969571113586,11.5580081939697,15.7703249454498,21.8349431991577,25.4318828582764,12.487705934499,-0.302385777235031,2.91571854554955,7.53457687197749,12.501847354954,17.2874754740251,22.7373815558871,25.4318828582764,3470,274,16.7414107959695,-0.950954794883728,3.03180999755859,13.268566608429,19.1503829956055,22.7594909667969,24.3214832305908,25.6100997924805,18.3876228686886,-0.876605808734894,8.19238673999462,15.7035784828834,20.437609071211,23.2589507707094,24.4827483813627,25.6100997924805,12727
