Id;family;genus;species;taxonomic.rank;taxon;LME;FAO;habitat;reference.habitat;feeding.mode;reference.feeding.mode;tl;level.tl;reference.tl;body.shape;fin.shape;AR;level.AR;reference.AR;offspring.size;level.offspring.size;reference.offspring.size;spawning.type;reference.spawning.type;age.maturity;level.age.maturity;reference.age.maturity;fecundity;level.fecundity;reference.fecundity;length.infinity;growth.coefficient;level.growth;reference.growth;length.max;level.length.max;reference.length.max;age.max;level.age.max;reference.age.max
199;Alepocephalidae;Xenodermichthys;copei;S;Xenodermichthys copei;8;21;bathypelagic;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;3.19;spe;FroesePauly2018;elongated;forked;1.4;spe;FroesePauly2018;2.7;fam;FroesePauly2018;non-guarder;inferred from family;;;;3754;fam-ocean;FroesePauly2018;51;0.13;fam-ocean;FroesePauly2018;31;spe;FroesePauly2018;26;fam;FroesePauly2018
200;Alepocephalidae;Xenodermichthys;copei;S;Xenodermichthys copei;20;27;bathypelagic;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;3.19;spe;FroesePauly2018;elongated;forked;1.4;spe;FroesePauly2018;2.7;fam;FroesePauly2018;non-guarder;inferred from family;;;;3754;fam-LME;FroesePauly2018;51;0.13;fam-ocean;FroesePauly2018;31;spe;FroesePauly2018;26;fam;FroesePauly2018
201;Alepocephalidae;Xenodermichthys;copei;S;Xenodermichthys copei;24;27;bathypelagic;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;3.19;spe;FroesePauly2018;elongated;forked;1.4;spe;FroesePauly2018;2.7;fam;FroesePauly2018;non-guarder;inferred from family;;;;3754;fam-LME;FroesePauly2018;51;0.13;fam-ocean;FroesePauly2018;31;spe;FroesePauly2018;26;fam;FroesePauly2018
202;Alepocephalidae;Xenodermichthys;copei;S;Xenodermichthys copei;25;27;bathypelagic;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;3.19;spe;FroesePauly2018;elongated;forked;1.4;spe;FroesePauly2018;2.7;fam;FroesePauly2018;non-guarder;inferred from family;;;;3754;fam-LME;FroesePauly2018;51;0.13;fam-ocean;FroesePauly2018;31;spe;FroesePauly2018;26;fam;FroesePauly2018
203;Alepocephalidae;Xenodermichthys;copei;S;Xenodermichthys copei;59;27;bathypelagic;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;3.19;spe;FroesePauly2018;elongated;forked;1.4;spe;FroesePauly2018;2.7;fam;FroesePauly2018;non-guarder;inferred from family;;;;3754;fam-LME;FroesePauly2018;51;0.13;fam-ocean;FroesePauly2018;31;spe;FroesePauly2018;26;fam;FroesePauly2018
204;Alepocephalidae;;;F;Alepocephalidae;3;67;bathydemersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.67;family;FroesePauly2018;fusiform;forked;1.19;fam;FroesePauly2018;2.7;fam;FroesePauly2018;non-guarder;inferred from family;;;;3754;fam-ocean;FroesePauly2018;64;0.3;fam-FAO;FroesePauly2018;20;fam-LME;FroesePauly2018;30.5;fam;FroesePauly2018
205;Alepocephalidae;;;F;Alepocephalidae;3;77;bathydemersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.67;family;FroesePauly2018;fusiform;forked;1.19;fam;FroesePauly2018;2.7;fam;FroesePauly2018;non-guarder;inferred from family;;;;3754;fam-ocean;FroesePauly2018;64;0.3;fam-FAO;FroesePauly2018;20;fam-LME;FroesePauly2018;30.5;fam;FroesePauly2018
206;Alepocephalidae;;;F;Alepocephalidae;7;21;bathydemersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.67;family;FroesePauly2018;fusiform;forked;1.19;fam;FroesePauly2018;2.7;fam;FroesePauly2018;non-guarder;inferred from family;;;;3754;fam-ocean;FroesePauly2018;51;0.13;fam-ocean;FroesePauly2018;20;fam-LME;FroesePauly2018;30.5;fam;FroesePauly2018
207;Alepocephalidae;;;F;Alepocephalidae;25;27;bathydemersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.67;family;FroesePauly2018;fusiform;forked;1.19;fam;FroesePauly2018;2.7;fam;FroesePauly2018;non-guarder;inferred from family;;;;3754;fam-FAO;FroesePauly2018;51;0.13;fam-ocean;FroesePauly2018;45;fam-LME;FroesePauly2018;30.5;fam;FroesePauly2018
208;Alopiidae;Alopias;superciliosus;S;Alopias superciliosus;5;31;pelagic;FroesePauly2018, OBIS2018;piscivorous;FroesePauly2018;4.51;spe;FroesePauly2018;fusiform;heterocercal;2.49;spe;FroesePauly2018;1400;spe;Chen1997;bearer;FroesePauly2018;11.7;spe;FroesePauly2019;3;spe-ocean;FroesePauly2018;404;0.09;spe-ocean;FroesePauly2018;480;spe-ocean;FroesePauly2018;25;spe;FroesePauly2018
209;Alopiidae;Alopias;superciliosus;S;Alopias superciliosus;7;21;pelagic;FroesePauly2018, OBIS2018;piscivorous;FroesePauly2018;4.51;spe;FroesePauly2018;fusiform;heterocercal;2.49;spe;FroesePauly2018;1400;spe;Chen1997;bearer;FroesePauly2018;11.7;spe;FroesePauly2019;3;spe-ocean;FroesePauly2018;404;0.09;spe-ocean;FroesePauly2018;480;spe-ocean;FroesePauly2018;25;spe;FroesePauly2018
210;Alopiidae;Alopias;vulpinus;S;Alopias vulpinus;3;67;pelagic;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;4.5;spe;FroesePauly2018;fusiform;heterocercal;1.81;spe;FroesePauly2018;1360;spe;Cortés2000;bearer;FroesePauly2018;5.1;spe-ocean;FroesePauly2019;3;spe-ocean;FroesePauly2018;558;0.11;spe-LME;FroesePauly2018;480;spe-LME;FroesePauly2018;38;spe;FroesePauly2018
211;Alopiidae;Alopias;vulpinus;S;Alopias vulpinus;3;77;pelagic;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;4.5;spe;FroesePauly2018;fusiform;heterocercal;1.81;spe;FroesePauly2018;1360;spe;Cortés2000;bearer;FroesePauly2018;5.1;spe-ocean;FroesePauly2019;3;spe-ocean;FroesePauly2018;558;0.11;spe-LME;FroesePauly2018;480;spe-LME;FroesePauly2018;38;spe;FroesePauly2018
212;Alopiidae;Alopias;vulpinus;S;Alopias vulpinus;6;21;pelagic;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;4.5;spe;FroesePauly2018;fusiform;heterocercal;1.81;spe;FroesePauly2018;1360;spe;Cortés2000;bearer;FroesePauly2018;5.1;spe-ocean;FroesePauly2019;3;spe-ocean;FroesePauly2018;558;0.11;spe-ocean;FroesePauly2018;480;spe-LME;FroesePauly2018;38;spe;FroesePauly2018
213;Alopiidae;Alopias;vulpinus;S;Alopias vulpinus;6;31;pelagic;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;4.5;spe;FroesePauly2018;fusiform;heterocercal;1.81;spe;FroesePauly2018;1360;spe;Cortés2000;bearer;FroesePauly2018;5.1;spe-ocean;FroesePauly2019;3;spe-ocean;FroesePauly2018;558;0.11;spe-ocean;FroesePauly2018;480;spe-LME;FroesePauly2018;38;spe;FroesePauly2018
214;Alopiidae;Alopias;vulpinus;S;Alopias vulpinus;7;21;pelagic;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;4.5;spe;FroesePauly2018;fusiform;heterocercal;1.81;spe;FroesePauly2018;1360;spe;Cortés2000;bearer;FroesePauly2018;5.1;spe-ocean;FroesePauly2019;3;spe-ocean;FroesePauly2018;558;0.11;spe-ocean;FroesePauly2018;480;spe-LME;FroesePauly2018;38;spe;FroesePauly2018
215;Ammodytidae;Ammodytes;americanus;S;Ammodytes americanus;7;21;demersal;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.2;spe;FroesePauly2018;elongated;forked;1.45;gen;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.3;gen-ocean;FroesePauly2019;10630;gen-ocean;FroesePauly2018;26;0.34;gen-FAO;FroesePauly2018;24;spe-FAO;FroesePauly2018;12;spe-FAO;FroesePauly2018
216;Ammodytidae;Ammodytes;dubius;S;Ammodytes dubius;6;21;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3.2;spe;FroesePauly2018;elongated;forked;1.42;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.3;gen-ocean;FroesePauly2019;10630;gen-ocean;FroesePauly2018;26;0.34;spe-FAO;FroesePauly2018;37;spe-FAO;FroesePauly2018;9;spe-FAO;FroesePauly2018
217;Ammodytidae;Ammodytes;dubius;S;Ammodytes dubius;7;21;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3.2;spe;FroesePauly2018;elongated;forked;1.42;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.3;gen-ocean;FroesePauly2019;10630;gen-ocean;FroesePauly2018;26;0.34;spe-FAO;FroesePauly2018;37;spe-FAO;FroesePauly2018;9;spe-FAO;FroesePauly2018
218;Ammodytidae;Ammodytes;dubius;S;Ammodytes dubius;8;21;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3.2;spe;FroesePauly2018;elongated;forked;1.42;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.3;gen-ocean;FroesePauly2019;13133;gen-LME;FroesePauly2018;20;0.38;spe-LME;FroesePauly2018;37;spe-LME;FroesePauly2018;9;spe-LME;FroesePauly2018
219;Ammodytidae;Ammodytes;dubius;S;Ammodytes dubius;9;21;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3.2;spe;FroesePauly2018;elongated;forked;1.42;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.3;gen-ocean;FroesePauly2019;10630;gen-ocean;FroesePauly2018;28;0.33;spe-LME;FroesePauly2018;37;spe-LME;FroesePauly2018;9;spe-LME;FroesePauly2018
220;Ammodytidae;Ammodytes;dubius;S;Ammodytes dubius;18;21;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3.2;spe;FroesePauly2018;elongated;forked;1.42;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.3;gen-ocean;FroesePauly2019;10630;gen-ocean;FroesePauly2018;26;0.34;spe-FAO;FroesePauly2018;37;spe-FAO;FroesePauly2018;9;spe-FAO;FroesePauly2018
221;Ammodytidae;Ammodytes;dubius;S;Ammodytes dubius;19;27;demersal;FroesePauly2018, OBIS2018;benthivorous;FroesePauly2018;3.2;spe;FroesePauly2018;elongated;forked;1.42;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;3.2;gen-FAO;FroesePauly2019;10630;gen-ocean;FroesePauly2018;26;0.34;spe-ocean;FroesePauly2018;37;spe-ocean;FroesePauly2018;9;spe-ocean;FroesePauly2018
222;Ammodytidae;Ammodytes;hexapterus;S;Ammodytes hexapterus;1;21;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.13;spe;FroesePauly2018;elongated;forked;1.35;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.5;spe;FroesePauly2019;10630;gen-ocean;FroesePauly2018;26;0.34;gen-FAO;FroesePauly2018;30;spe-ocean;FroesePauly2018;11;spe;FroesePauly2018
223;Ammodytidae;Ammodytes;hexapterus;S;Ammodytes hexapterus;1;67;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.13;spe;FroesePauly2018;elongated;forked;1.35;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.5;spe;FroesePauly2019;10630;gen-ocean;FroesePauly2018;20;0.5;gen-ocean;FroesePauly2018;30;spe-ocean;FroesePauly2018;11;spe;FroesePauly2018
224;Ammodytidae;Ammodytes;hexapterus;S;Ammodytes hexapterus;2;67;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.13;spe;FroesePauly2018;elongated;forked;1.35;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.5;spe;FroesePauly2019;10630;gen-ocean;FroesePauly2018;20;0.5;gen-ocean;FroesePauly2018;30;spe-ocean;FroesePauly2018;11;spe;FroesePauly2018
225;Ammodytidae;Ammodytes;hexapterus;S;Ammodytes hexapterus;3;67;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.13;spe;FroesePauly2018;elongated;forked;1.35;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.5;spe;FroesePauly2019;10630;gen-ocean;FroesePauly2018;20;0.5;gen-ocean;FroesePauly2018;30;spe-ocean;FroesePauly2018;11;spe;FroesePauly2018
226;Ammodytidae;Ammodytes;hexapterus;S;Ammodytes hexapterus;53;61;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.13;spe;FroesePauly2018;elongated;forked;1.35;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.5;spe;FroesePauly2019;10630;gen-ocean;FroesePauly2018;20;0.5;gen-ocean;FroesePauly2018;30;spe-LME;FroesePauly2018;11;spe;FroesePauly2018
227;Ammodytidae;Ammodytes;hexapterus;S;Ammodytes hexapterus;65;27;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.13;spe;FroesePauly2018;elongated;forked;1.35;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.5;spe;FroesePauly2019;12450;gen-FAO;FroesePauly2018;19;0.55;gen-FAO;FroesePauly2018;30;spe-FAO;FroesePauly2018;11;spe;FroesePauly2018
228;Ammodytidae;Ammodytes;hexapterus;S;Ammodytes hexapterus;65;61;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.13;spe;FroesePauly2018;elongated;forked;1.35;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.5;spe;FroesePauly2019;10630;gen-ocean;FroesePauly2018;20;0.5;gen-ocean;FroesePauly2018;30;spe-FAO;FroesePauly2018;11;spe;FroesePauly2018
229;Ammodytidae;Ammodytes;hexapterus;S;Ammodytes hexapterus;65;67;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.13;spe;FroesePauly2018;elongated;forked;1.35;spe;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;FroesePauly2018;2.5;spe;FroesePauly2019;10630;gen-ocean;FroesePauly2018;20;0.5;gen-ocean;FroesePauly2018;30;spe-ocean;FroesePauly2018;11;spe;FroesePauly2018
230;Ammodytidae;Ammodytes;marinus;S;Ammodytes marinus;20;27;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;2.71;spe;FroesePauly2018;elongated;forked;1.45;gen;FroesePauly2018;1.03;spe;FroesePauly2018;non-guarder;FroesePauly2018;3.2;spe-FAO;FroesePauly2019;13133;spe-LME;FroesePauly2018;25;0.16;spe-LME;FroesePauly2018;21;spe-FAO;FroesePauly2018;10;spe;FroesePauly2018
231;Ammodytidae;Ammodytes;marinus;S;Ammodytes marinus;21;27;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;2.71;spe;FroesePauly2018;elongated;forked;1.45;gen;FroesePauly2018;1.03;spe;FroesePauly2018;non-guarder;FroesePauly2018;3.2;spe-FAO;FroesePauly2019;13133;spe-LME;FroesePauly2018;19;0.46;spe-FAO;FroesePauly2018;21;spe-FAO;FroesePauly2018;10;spe;FroesePauly2018
232;Ammodytidae;Ammodytes;marinus;S;Ammodytes marinus;22;27;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;2.71;spe;FroesePauly2018;elongated;forked;1.45;gen;FroesePauly2018;1.03;spe;FroesePauly2018;non-guarder;FroesePauly2018;3.2;spe-LME;FroesePauly2019;13133;spe-LME;FroesePauly2018;19;0.38;spe-LME;FroesePauly2018;19;spe-LME;FroesePauly2018;10;spe;FroesePauly2018
233;Ammodytidae;Ammodytes;marinus;S;Ammodytes marinus;23;27;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;2.71;spe;FroesePauly2018;elongated;forked;1.45;gen;FroesePauly2018;1.03;spe;FroesePauly2018;non-guarder;FroesePauly2018;3.2;spe-FAO;FroesePauly2019;13133;spe-LME;FroesePauly2018;18;0.87;spe-LME;FroesePauly2018;19;spe-LME;FroesePauly2018;10;spe;FroesePauly2018
234;Ammodytidae;Ammodytes;marinus;S;Ammodytes marinus;24;27;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;2.71;spe;FroesePauly2018;elongated;forked;1.45;gen;FroesePauly2018;1.03;spe;FroesePauly2018;non-guarder;FroesePauly2018;3.2;spe-FAO;FroesePauly2019;13133;spe-LME;FroesePauly2018;16;0.63;spe-LME;FroesePauly2018;21;spe-LME;FroesePauly2018;10;spe;FroesePauly2018
235;Ammodytidae;Ammodytes;marinus;S;Ammodytes marinus;25;27;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;2.71;spe;FroesePauly2018;elongated;forked;1.45;gen;FroesePauly2018;1.03;spe;FroesePauly2018;non-guarder;FroesePauly2018;3.2;spe-FAO;FroesePauly2019;13133;spe-LME;FroesePauly2018;19;0.46;spe-FAO;FroesePauly2018;21;spe-FAO;FroesePauly2018;10;spe;FroesePauly2018
236;Ammodytidae;Ammodytes;marinus;S;Ammodytes marinus;59;27;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;2.71;spe;FroesePauly2018;elongated;forked;1.45;gen;FroesePauly2018;1.03;spe;FroesePauly2018;non-guarder;FroesePauly2018;3.2;spe-FAO;FroesePauly2019;13133;spe-LME;FroesePauly2018;19;0.46;spe-FAO;FroesePauly2018;21;spe-FAO;FroesePauly2018;10;spe;FroesePauly2018
237;Ammodytidae;Ammodytes;tobianus;S;Ammodytes tobianus;20;27;demersal;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.08;spe;FroesePauly2018;elongated;forked;1.07;spe;FroesePauly2018;0.85;spe;FroesePauly2018;non-guarder;FroesePauly2018;1.5;spe-ocean;FroesePauly2019;13133;gen-LME;FroesePauly2018;20;0.65;spe-FAO;FroesePauly2018;20;spe-FAO;FroesePauly2018;7;spe;FroesePauly2018
238;Ammodytidae;Ammodytes;tobianus;S;Ammodytes tobianus;22;27;demersal;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.08;spe;FroesePauly2018;elongated;forked;1.07;spe;FroesePauly2018;0.85;spe;FroesePauly2018;non-guarder;FroesePauly2018;1.5;spe-ocean;FroesePauly2019;13133;gen-LME;FroesePauly2018;20;0.65;spe-FAO;FroesePauly2018;17;spe-LME;FroesePauly2018;7;spe;FroesePauly2018
239;Ammodytidae;Ammodytes;tobianus;S;Ammodytes tobianus;23;27;demersal;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.08;spe;FroesePauly2018;elongated;forked;1.07;spe;FroesePauly2018;0.85;spe;FroesePauly2018;non-guarder;FroesePauly2018;1.5;spe-ocean;FroesePauly2019;13133;gen-LME;FroesePauly2018;20;0.64;spe-LME;FroesePauly2018;20;spe-FAO;FroesePauly2018;7;spe;FroesePauly2018
240;Ammodytidae;Ammodytes;tobianus;S;Ammodytes tobianus;24;27;demersal;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.08;spe;FroesePauly2018;elongated;forked;1.07;spe;FroesePauly2018;0.85;spe;FroesePauly2018;non-guarder;FroesePauly2018;1.5;spe-ocean;FroesePauly2019;13133;gen-LME;FroesePauly2018;20;0.66;spe-LME;FroesePauly2018;20;spe-LME;FroesePauly2018;7;spe;FroesePauly2018
241;Ammodytidae;Ammodytes;tobianus;S;Ammodytes tobianus;25;27;demersal;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.08;spe;FroesePauly2018;elongated;forked;1.07;spe;FroesePauly2018;0.85;spe;FroesePauly2018;non-guarder;FroesePauly2018;1.5;spe-ocean;FroesePauly2019;13133;gen-LME;FroesePauly2018;20;0.65;spe-FAO;FroesePauly2018;20;spe-FAO;FroesePauly2018;7;spe;FroesePauly2018
242;Ammodytidae;Ammodytes;tobianus;S;Ammodytes tobianus;59;27;demersal;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;3.08;spe;FroesePauly2018;elongated;forked;1.07;spe;FroesePauly2018;0.85;spe;FroesePauly2018;non-guarder;FroesePauly2018;1.5;spe-ocean;FroesePauly2019;13133;gen-LME;FroesePauly2018;20;0.65;spe-FAO;FroesePauly2018;20;spe-FAO;FroesePauly2018;7;spe;FroesePauly2018
243;Ammodytidae;Ammodytes;;G;Ammodytes;7;21;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;inferred from genus;3.15;genus;FroesePauly2018;elongated;forked;1.45;gen;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;inferred from genus;2.3;gen-ocean;FroesePauly2019;10630;gen-ocean;FroesePauly2018;26;0.34;gen-FAO;FroesePauly2018;33;gen-FAO;FroesePauly2018;10.5;gen-FAO;FroesePauly2018
244;Ammodytidae;Ammodytes;;G;Ammodytes;20;27;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;inferred from genus;3.15;genus;FroesePauly2018;elongated;forked;1.45;gen;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;inferred from genus;3.2;gen-FAO;FroesePauly2019;12450;gen-FAO;FroesePauly2018;19;0.55;gen-FAO;FroesePauly2018;23;gen-LME;FroesePauly2018;7.7;gen-FAO;FroesePauly2018
245;Ammodytidae;Ammodytes;;G;Ammodytes;22;27;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;inferred from genus;3.15;genus;FroesePauly2018;elongated;forked;1.45;gen;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;inferred from genus;3.2;gen-FAO;FroesePauly2019;12450;gen-FAO;FroesePauly2018;19;0.55;gen-FAO;FroesePauly2018;18;gen-LME;FroesePauly2018;7.7;gen-FAO;FroesePauly2018
246;Ammodytidae;Ammodytes;;G;Ammodytes;24;27;benthopelagic;FroesePauly2018, OBIS2018;planktivorous;inferred from genus;3.15;genus;FroesePauly2018;elongated;forked;1.45;gen;FroesePauly2018;0.94;gen;FroesePauly2018;non-guarder;inferred from genus;3.2;gen-FAO;FroesePauly2019;12450;gen-FAO;FroesePauly2018;19;0.55;gen-FAO;FroesePauly2018;19;gen-LME;FroesePauly2018;7.7;gen-FAO;FroesePauly2018
247;Ammodytidae;Gymnammodytes;semisquamatus;S;Gymnammodytes semisquamatus;22;27;demersal;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;2.68;spe;FroesePauly2018;elongated;forked;2.43;gen;FroesePauly2018;0.94;fam;FroesePauly2018;non-guarder;FroesePauly2018;3.2;fam-LME;FroesePauly2019;13133;fam-LME;FroesePauly2018;19;0.38;fam-LME;FroesePauly2018;30;spe;FroesePauly2018;9.5;fam;FroesePauly2018
248;Ammodytidae;Gymnammodytes;semisquamatus;S;Gymnammodytes semisquamatus;24;27;demersal;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;2.68;spe;FroesePauly2018;elongated;forked;2.43;gen;FroesePauly2018;0.94;fam;FroesePauly2018;non-guarder;FroesePauly2018;3.2;fam-FAO;FroesePauly2019;13133;fam-LME;FroesePauly2018;18;0.64;fam-LME;FroesePauly2018;30;spe;FroesePauly2018;9.5;fam;FroesePauly2018
249;Ammodytidae;Gymnammodytes;semisquamatus;S;Gymnammodytes semisquamatus;25;27;demersal;FroesePauly2018, OBIS2018;planktivorous;FroesePauly2018;2.68;spe;FroesePauly2018;elongated;forked;2.43;gen;FroesePauly2018;0.94;fam;FroesePauly2018;non-guarder;FroesePauly2018;3.2;fam-FAO;FroesePauly2019;13133;fam-LME;FroesePauly2018;20;0.53;fam-FAO;FroesePauly2018;30;spe;FroesePauly2018;9.5;fam;FroesePauly2018
250;Ammodytidae;Hyperoplus;immaculatus;S;Hyperoplus immaculatus;22;27;demersal;FroesePauly2018, OBIS2018;piscivorous;FroesePauly2018;4.38;spe;FroesePauly2018;elongated;forked;1.68;fam;FroesePauly2018;0.94;fam;FroesePauly2018;non-guarder;FroesePauly2018;2;gen-ocean;FroesePauly2019;13133;fam-LME;FroesePauly2018;30;0.4;gen-FAO;FroesePauly2018;35;spe;FroesePauly2018;9.5;fam;FroesePauly2018
251;Ammodytidae;Hyperoplus;immaculatus;S;Hyperoplus immaculatus;23;27;demersal;FroesePauly2018, OBIS2018;piscivorous;FroesePauly2018;4.38;spe;FroesePauly2018;elongated;forked;1.68;fam;FroesePauly2018;0.94;fam;FroesePauly2018;non-guarder;FroesePauly2018;2;gen-ocean;FroesePauly2019;13133;fam-LME;FroesePauly2018;30;0.4;gen-LME;FroesePauly2018;35;spe;FroesePauly2018;9.5;fam;FroesePauly2018
252;Ammodytidae;Hyperoplus;immaculatus;S;Hyperoplus immaculatus;24;27;demersal;FroesePauly2018, OBIS2018;piscivorous;FroesePauly2018;4.38;spe;FroesePauly2018;elongated;forked;1.68;fam;FroesePauly2018;0.94;fam;FroesePauly2018;non-guarder;FroesePauly2018;2;gen-ocean;FroesePauly2019;13133;fam-LME;FroesePauly2018;30;0.4;gen-FAO;FroesePauly2018;35;spe;FroesePauly2018;9.5;fam;FroesePauly2018
253;Ammodytidae;Hyperoplus;immaculatus;S;Hyperoplus immaculatus;25;27;demersal;FroesePauly2018, OBIS2018;piscivorous;FroesePauly2018;4.38;spe;FroesePauly2018;elongated;forked;1.68;fam;FroesePauly2018;0.94;fam;FroesePauly2018;non-guarder;FroesePauly2018;2;gen-ocean;FroesePauly2019;12450;fam-FAO;FroesePauly2018;30;0.4;gen-FAO;FroesePauly2018;35;spe;FroesePauly2018;9.5;fam;FroesePauly2018
254;Ammodytidae;Hyperoplus;lanceolatus;S;Hyperoplus lanceolatus;20;27;demersal;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;3.98;spe;FroesePauly2018;elongated;forked;1.68;fam;FroesePauly2018;0.94;fam;FroesePauly2018;non-guarder;FroesePauly2018;2;spe-ocean;FroesePauly2019;13133;fam-LME;FroesePauly2018;30;0.4;spe-FAO;FroesePauly2018;40;spe;FroesePauly2018;9.5;fam;FroesePauly2018
255;Ammodytidae;Hyperoplus;lanceolatus;S;Hyperoplus lanceolatus;21;27;demersal;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;3.98;spe;FroesePauly2018;elongated;forked;1.68;fam;FroesePauly2018;0.94;fam;FroesePauly2018;non-guarder;FroesePauly2018;2;spe-ocean;FroesePauly2019;13133;fam-LME;FroesePauly2018;30;0.4;spe-FAO;FroesePauly2018;40;spe;FroesePauly2018;9.5;fam;FroesePauly2018
256;Ammodytidae;Hyperoplus;lanceolatus;S;Hyperoplus lanceolatus;22;27;demersal;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;3.98;spe;FroesePauly2018;elongated;forked;1.68;fam;FroesePauly2018;0.94;fam;FroesePauly2018;non-guarder;FroesePauly2018;2;spe-ocean;FroesePauly2019;13133;fam-LME;FroesePauly2018;30;0.4;spe-FAO;FroesePauly2018;40;spe;FroesePauly2018;9.5;fam;FroesePauly2018
257;Ammodytidae;Hyperoplus;lanceolatus;S;Hyperoplus lanceolatus;23;27;demersal;FroesePauly2018, OBIS2018;generalist;FroesePauly2018;3.98;spe;FroesePauly2018;elongated;forked;1.68;fam;FroesePauly2018;0.94;fam;FroesePauly2018;non-guarder;FroesePauly2018;2;spe-ocean;FroesePauly2019;13133;fam-LME;FroesePauly2018;30;0.4;spe-LME;FroesePauly2018;40;spe;FroesePauly2018;9.5;fam;FroesePauly2018
